City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,tiksi,71.6872,128.8694,0.23,90,99,4.86,RU,1694809096
201,crane,31.3974,-102.3501,32.38,36,6,2.2,US,1694809096
202,leeton,-34.5667,146.4,11.72,60,0,1.55,AU,1694809097
203,salair,54.2312,85.7972,9.97,93,100,0.67,RU,1694809097
204,monrovia,6.3005,-10.7969,24.87,91,100,4.01,LR,1694809097
205,madona,56.8533,26.217,9.34,75,74,1.17,LV,1694809051
206,carutapera,-1.195,-46.02,28.35,72,7,5.18,BR,1694809097
207,guangyuan,32.442,105.823,20.74,92,88,0.81,CN,1694809078
208,avarua,-21.2078,-159.775,26.03,78,54,6.69,CK,1694809098
209,urucara,-2.5364,-57.76,40.62,16,63,2.45,BR,1694809098
210,afaahiti,-17.75,-149.2833,25.93,83,81,8.75,PF,1694809098
211,narvik,68.4384,17.4272,8.78,87,71,0.79,NO,1694809098
212,pinsk,52.1229,26.0951,11.55,69,0,3.09,BY,1694809098
213,minas de marcona,-15.2119,-75.1103,18.54,56,28,4.78,PE,1694809099
214,yung shue wan,22.2333,114.1167,26.49,91,90,5.3,HK,1694809099
215,brookings,44.3114,-96.7984,24.58,51,75,2.68,US,1694809099
216,tagta,41.6504,59.9164,16.97,48,0,3.09,TM,1694809099
217,nizhniy ingash,56.2,96.53,8.35,80,6,1.7,RU,1694809099
218,berezovyy,51.6667,135.7,5.08,70,0,3.14,RU,1694809099
219,santokhgarh,31.3667,76.3167,25.29,86,17,1.46,IN,1694809100
220,ust-tsilma,65.441,52.1498,7.94,94,100,3.39,RU,1694809100
221,sumbawa besar,-8.5,117.4333,20.93,83,6,2.37,ID,1694809100
222,esperanza,19.5847,-70.9849,33.32,58,92,3.21,DO,1694809100
223,medvezh'yegorsk,62.9167,34.4667,6.97,86,66,0.57,RU,1694809045
224,awjilah,29.1081,21.2869,27.18,24,0,3.78,LY,1694809100
225,tazovsky,67.4667,78.7,10.19,93,100,4.35,RU,1694809098
226,zhumysker,49.3333,49.4,14.01,60,20,0.88,KZ,1694809101
227,kidal,18.4411,1.4078,28.12,52,100,3.02,ML,1694808936
228,toliara,-23.35,43.6667,22.58,77,0,0.65,MG,1694808991
229,cambria,35.5641,-121.0808,29.2,90,10,2.24,US,1694809101
230,wuyo,10.3852,11.6968,27.59,65,99,1.4,NG,1694809102
231,caiaponia,-16.9567,-51.8103,31.45,30,99,0.96,BR,1694809102
232,puerto baquerizo moreno,-0.9,-89.6,27.55,61,75,6.17,EC,1694809102
233,la ronge,55.1001,-105.2842,16.12,72,75,3.6,CA,1694809102
234,sinop,41.7711,34.8709,14.69,54,21,2.8,TR,1694809070
235,humahuaca,-23.2054,-65.3505,22.32,7,0,1.55,AR,1694809102
236,lompoc,34.6391,-120.4579,25.56,82,100,2.06,US,1694809103
237,boundiali,9.5217,-6.4869,23.39,94,47,1.64,CI,1694809103
238,jinchang,38.4953,102.1739,19.67,39,2,2.5,CN,1694809103
239,krasnozerskoye,53.9828,79.2374,11.86,82,73,2.72,RU,1694809103
240,anadyr,64.75,177.4833,4.28,93,75,2.0,RU,1694809103
241,verkhnevilyuysk,63.4453,120.3167,4.71,62,100,6.6,RU,1694809104
242,stanley,54.868,-1.6985,14.29,94,100,5.14,GB,1694809044
243,utrik,11.2278,169.8474,28.81,75,12,7.11,MH,1694809104
244,thunder bay,48.4001,-89.3168,18.99,82,75,2.06,CA,1694809104
245,rongelap,11.1635,166.8941,28.46,78,34,6.91,MH,1694809104
246,samtredia,42.1537,42.3352,19.15,88,75,1.03,GE,1694809104
247,rio grande,-32.035,-52.0986,23.06,68,7,3.96,BR,1694809105
248,bornu yassu,12.2774,12.5552,29.01,50,44,4.52,NG,1694809105
249,gordonvale,-17.0936,145.7842,20.88,84,32,3.17,AU,1694809105
250,patterson,37.4716,-121.1297,30.57,27,5,2.71,US,1694809105
251,mimizan,44.2006,-1.2289,21.05,88,100,3.95,FR,1694809105
252,moscow,55.7522,37.6156,15.21,73,100,3.27,RU,1694808780
253,ciudad lazaro cardenas,17.9583,-102.2,31.1,69,100,3.19,MX,1694809106
254,phan rang-thap cham,11.5667,108.9833,24.89,87,99,1.83,VN,1694809106
255,mudgee,-32.5943,149.5871,10.49,61,0,0.37,AU,1694809106
256,zouerate,22.7187,-12.4521,33.85,24,0,6.04,MR,1694809106
257,talnakh,69.4865,88.3972,3.45,78,100,2.53,RU,1694809107
258,hailey,43.5196,-114.3153,25.49,34,0,5.14,US,1694809107
259,ad dilam,23.9915,47.1627,34.23,20,5,5.4,SA,1694809107
260,shetpe,44.1667,52.1167,19.67,51,2,0.54,KZ,1694808990
261,motueka,-41.1333,173.0167,9.06,79,55,0.81,NZ,1694809107
262,novodvinsk,64.4165,40.8122,7.29,74,100,2.03,RU,1694809107
263,vadso,70.0744,29.7487,8.09,71,0,5.14,NO,1694808948
264,carloforte,39.145,8.3058,24.89,79,100,7.75,IT,1694809108
265,ar ruways,24.1103,52.7306,32.63,71,0,6.75,AE,1694809108
266,phnom penh,11.5625,104.916,25.95,89,75,1.54,KH,1694809108
267,rovnoye,50.7765,46.0509,15.25,67,95,3.17,RU,1694809108
268,mandan,46.8267,-100.8896,21.32,53,40,6.69,US,1694809109
269,lukolela,-1.0605,17.1821,22.65,93,92,1.6,CD,1694809109
270,baiti,13.745,-14.7482,28.1,82,79,3.34,SN,1694809109
271,port alfred,-33.5906,26.891,14.54,75,100,4.02,ZA,1694809109
272,chrysoupolis,40.9856,24.6939,19.89,83,75,0.0,GR,1694809109
273,hilo,19.7297,-155.09,30.71,65,0,2.57,US,1694809110
274,hammerfest,70.6634,23.6821,5.25,75,0,1.03,NO,1694809110
275,la sarre,48.8002,-79.1996,19.66,44,49,4.14,CA,1694809110
276,pandan,14.0453,124.1694,25.97,88,28,1.51,PH,1694809110
277,invercargill,-46.4,168.35,8.49,50,100,4.96,NZ,1694809110
278,tosontsengel,48.7567,98.2839,2.25,88,82,1.36,MN,1694809111
279,steamboat springs,40.485,-106.8317,20.74,35,75,2.06,US,1694809111
280,antsiranana,-12.2787,49.2917,22.7,79,21,8.42,MG,1694808944
281,southwell,53.078,-0.9554,19.78,83,89,0.89,GB,1694809111
282,gurupa,-1.405,-51.64,34.48,39,80,1.9,BR,1694809111
283,salaqi,40.5414,110.5108,15.58,80,3,2.36,CN,1694809112
284,mar del plata,-38.0023,-57.5575,19.41,61,0,7.2,AR,1694808907
285,katoya,23.65,88.1333,26.02,93,27,2.52,IN,1694809112
286,livingstone,-17.8419,25.8543,22.17,33,0,1.92,ZM,1694809113
287,santa cruz,-17.8,-63.1667,30.7,37,0,6.17,BO,1694808997
288,sao lourenco do oeste,-26.3592,-52.8511,17.6,64,3,0.85,BR,1694809113
289,ardakan,32.31,54.0175,28.36,16,0,6.16,IR,1694809113
290,ketchikan,55.3422,-131.6461,12.26,94,100,6.17,US,1694809114
291,mbanza-ngungu,-5.25,14.8667,24.95,66,86,4.14,CD,1694809114
292,east milton,30.6152,-87.0216,34.17,66,75,0.45,US,1694809114
293,umm kaddadah,13.6017,26.6876,31.73,30,54,1.82,SD,1694809114
294,poronaysk,49.2167,143.1167,13.14,83,100,2.54,RU,1694809115
295,san luis,-33.295,-66.3356,29.25,12,0,8.31,AR,1694808915
296,chateaubriant,47.7167,-1.3833,22.84,49,100,0.63,FR,1694809115
297,vilyuchinsk,52.9306,158.4028,4.15,68,100,3.47,RU,1694809115
298,san rafael del norte,13.2125,-86.1106,28.28,57,75,5.14,NI,1694809115
299,fortaleza,-3.7227,-38.5247,28.07,74,0,6.69,BR,1694809048
300,miguel ahumada,30.6167,-106.5167,31.76,22,0,0.46,MX,1694809116
301,prince rupert,54.3161,-130.3201,14.05,77,75,3.09,CA,1694809116
302,homer,59.6425,-151.5483,11.94,73,100,3.6,US,1694808834
303,susuman,62.7833,148.1667,0.58,82,32,1.35,RU,1694809117
304,uzhur,55.3036,89.8339,9.23,89,100,1.65,RU,1694808893
305,north shore,-36.8,174.75,12.67,81,1,1.05,NZ,1694809117
306,magadan,59.5667,150.8,1.41,82,15,1.94,RU,1694808963
307,khorostkiv,49.2111,25.9217,15.28,83,0,2.48,UA,1694809118
308,mufumbwe,-13.6833,24.8,20.28,32,0,2.22,ZM,1694809118
309,imbituba,-28.24,-48.6703,16.96,68,0,5.22,BR,1694809046
310,okahandja,-21.9833,16.9167,20.56,6,0,3.04,NA,1694809118
311,great falls,47.5002,-111.3008,26.49,22,0,3.6,US,1694809118
312,luanda,-8.8368,13.2343,22.21,88,26,5.14,AO,1694808651
313,papao,-17.75,-149.55,26.82,81,28,9.48,PF,1694809119
314,ishikawa,26.4233,127.8214,29.41,89,40,2.06,JP,1694809079
315,rikaze,29.25,88.8833,12.08,50,0,1.96,CN,1694809119
316,broome,42.2506,-75.833,22.88,60,0,5.66,US,1694809119
317,cannonvale,-20.2833,148.7,20.66,71,0,7.91,AU,1694809119
318,amga,60.8953,131.9608,6.67,97,100,4.39,RU,1694809120
319,belyy yar,53.6039,91.3903,7.94,100,20,0.0,RU,1694809120
320,huntsville,34.7304,-86.5861,28.89,67,75,3.13,US,1694809120
321,maintirano,-18.0667,44.0167,24.55,82,29,1.85,MG,1694809120
322,warwick,41.7001,-71.4162,21.05,62,75,14.92,US,1694808866
323,caazapa,-26.15,-56.4,23.66,46,4,1.71,PY,1694809085
324,vernon,50.2581,-119.2691,27.64,31,8,1.54,CA,1694809121
325,kolonia,50.9333,6.95,19.97,72,0,1.54,DE,1694809054
326,kavaratti,10.5669,72.642,27.07,81,100,5.31,IN,1694809121
327,palmer,42.1584,-72.3287,20.08,58,75,6.69,US,1694809121
328,kalifornsky,60.4183,-151.29,10.22,89,20,5.14,US,1694809122
329,lae,-6.7221,146.9847,23.29,93,100,2.29,PG,1694809122
330,axim,4.8699,-2.2405,24.37,93,97,3.28,GH,1694809110
331,swan hill,-35.3378,143.5544,9.11,88,0,1.66,AU,1694809122
332,mandla,22.6,80.3833,23.59,97,100,3.83,IN,1694809123
333,polyarnyy,69.1989,33.4478,6.05,70,92,5.22,RU,1694809123
334,kirkland lake,48.1446,-80.0377,21.16,46,71,3.09,CA,1694809123
335,praia da vitoria,38.7333,-27.0667,21.14,64,40,9.42,PT,1694809123
336,dalhart,36.0595,-102.5133,25.82,49,75,2.06,US,1694809123
337,dwarka,22.2394,68.9678,27.53,80,70,4.48,IN,1694809124
338,gamla uppsala,59.8969,17.6361,15.66,94,20,1.03,SE,1694809124
339,punta cana,18.5818,-68.4043,30.87,70,40,4.63,DO,1694808854
340,pervomayskoye,43.919,46.7102,18.17,62,92,2.24,RU,1694809124
341,mersa matruh,31.3525,27.2453,25.67,62,0,4.33,EG,1694809124
342,kavieng,-2.5744,150.7967,25.93,86,100,6.85,PG,1694809125
343,holly springs,35.6513,-78.8336,27.25,44,0,2.68,US,1694809125
